"Name","Campus Protests"
"Title","University Campus Protests"
"Date","June 25, 2024 at 03:45 PM (GMT)"
"Duration","02:26:12"
"Participants","315"
"Participant Limit","350"
"Total Screener Polls","8"
"Total Conversation Questions","5"

""
""
"","","Participant Id","Sample Provider Id","What is your gender?","What is your age range?","What is your political affiliation?","What is your religious affiliation? - Christian","What is your religious affiliation? - Muslim","What is your religious affiliation? - Jewish","What is your religious affiliation? - Agnostic/Atheist ","What is your religious affiliation? - Hindu","What is your religious affiliation? - Buddhist ","What is your religious affiliation? - Other","What is your religious affiliation? - Prefer not to respond","What is your highest level of education?","How would you describe where you live?","What is your household income?","Have you ever participated in any form of public protest?","What are your impressions of the campus protests?","Sentiment","All (%agree)","What are you impressions of how campus administrators handled the protests?","Sentiment","All (%agree)","Can you describe any ways the campus protests have affected you?","Sentiment","Categories","What are your thoughts on the way university campus administrators should approach the issue of Israel/Gaza demonstrations?","Sentiment","All (%agree)","What should guide university campus administrators handling of protests?","Sentiment","All (%agree)","Muted"
"","","f8745840-7190-4eb4-9ef5-c1a8f002025b","","Male","18-29","Democrat","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Urban","$35k-$80k","No","I think it is great that the protestors are calling for action to support Gaza, but I also think that too many protests have taken things a bit far and have rightfully been shut down.","Neutral","55%","I think most of them have acted reasonably and in a fair manner.","Neutral","54%","They haven't really affected me much honestly.","Neutral","Uncategorized","They should leave the protestors alone if they are being nonviolent, but break up protests otherwise.","Negative","60%","The methods that other universities have used to successfully handle protests.","Neutral","76%","False"
"","","d8576bf6-f1fb-4df4-acdf-793790bc2e3a","","Female","30-39","Democrat","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","$35k-$80k","Yes","I think they're a great way for students and faculty to show their stance. Protesting has been a tactic used for years to show those in power the importance of an issue and I see nothing wrong with students using their voices in this way.","Neutral","58%","I think those who choose to get police involved in peaceful protesting are missing the point completely.","Negative","49%","I work on a small college campus and while we've had a few protests things have never gotten out of hand nor has any side made it difficult for kids to get to classes.","Neutral","Uncategorized","They should understand this is an important issue and tread lightly. Allowing their students to voice opinions is such an integral part of college as a whole that I don't think shutting them down is the best idea.","Neutral","48%","Safety should be the number one. ","Neutral","83%","False"
"","","7833298c-784a-47a7-9e7f-0db3810bfc2f","","Female","30-39","Democrat","Christian","--","--","--","--","--","--","--","Professional Degree (e.g. Masters, PhD, MD, JD) ","Suburban","$35k-$80k","No","I am supportive of anyone who wants to protest. My issue with student protesters is that they don't understand what it means to be a protester. Being a protester means sticking up for what you believe, and knowing there will be consequences and accepting those consequences. Student want to protest but want zero consequences. I have a negative viewpoint of them because they're not actual protesters. They do not take on the protester mindset. ","Negative","58%","I think they handled it appropriately. Protests and protesters know there will be consequences. The campus administrators dolled out the consequences that I thought were fair and just. The idea of protest to stand knowing their consequences, therefore, having those consequences and campus ministration, giving consequences is not a bad thing .  It is what should happen","Neutral","54%","They have not affected me in anyway. The only way they have slightly impacted me is by getting me annoyed. I get frustrated when students call themselves protesters, but then go on social media and complain. They got in trouble and they were consequences. They want attention For being a protester and being protester without the negative that come with it. I viewed them as fake, and therefore some of these protests get me irritated. ","Neutral","Uncategorized","I think they should stick to their rules and regulations on student protest. I'm not quite sure what they are, but I assume there are limitations on gatherings. I think just peaceful protesting that's not destructive to the rest of the environment should not be dealt with harshly. They should only be dealt with when things get out of hand and interrupt Life around","Neutral","58%","Their decision should be based upon how disruptive the protest are. If anyone is in danger or life surrounding the protesting is interrupted, then they should proceeded and handling it","Negative","74%","False"
"","","cedefb50-a905-437a-83b3-ee7db924eb80","","Male","30-39","Democrat","Christian","--","--","--","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","$120k+","No","I think they're full of children with skewed views of the world who seek attention for personal reasons. ","Negative","52%","College is a privilege and no way a right.  Administrators need to lock that shat down so it does not become disruptive to the rest of the students looking for an education.  Expulsion with trespassing issues should be the only answer. ","Negative","51%","They have not.  I attend classes virtually and have no intention of going to a graduation ceremony at the conclusion of my MBA.  ","Neutral","Uncategorized","Tell them to cease immediately or be faced with expulsion and arrest. ","Negative","47%","The will of the majority of students on campus to learn and gain an education without terrorists disrupting their learning environment. ","Neutral","43%","False"
"","","05381a74-fb6f-4c69-8afd-b9d67457ffad","","Male","60-69","Democrat","Christian","--","--","--","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","Under $34k","Yes","I'm happy to see them.","Positive","48%","Admins calling for police to use violence against students is cowardly and a terrible role model for a reputed institute of learning.","Negative","51%","I protested Viet Nam. I'm in favor of healthy protest.","Neutral","Uncategorized","Listen to their students, not their deep-pocket donors who have their own darker agenda.","Negative","45%","The feelings expressed by the very students they teach.","Neutral","49%","False"
"","","1b705e98-e982-4795-bf4c-b27efc0e5d00","","Male","40-49","Republican","--","--","--","Agnostic/Atheist ","--","--","--","--","High school","Suburban","$35k-$80k","No","I think the protests are fine as long as they don't interfere with others' access to their education. I think it's unfair that they are actively trying to shut down these particular protests when any form of protests have always been acceptable in campus settings.","Neutral","59%","The administrators have been handling these protests much more aggressively than other protests in the past. Campuses have traditionally been supportive of protesting so it's unfair that these have been attacked.
","Negative","56%","They have not affected me personally but they have helped validate my beliefs that our society and media are biased towards the well-being of Israel.","Neutral","Uncategorized","They should allow peaceful protests and if some students break laws, those students alone should be punished.","Negative","59%","Not having a bias and allowing differences of opinions should guide them.","Neutral","83%","False"
"","","1574e246-109e-4cef-99f6-95ab3833e780","","Female","30-39","Democrat","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","$35k-$80k","No","Students have a right to protest. I thought calling in the police was terrible since they tend to escalate situations","Negative","54%","Calling police only put the protesters' lives in danger. It was irresponsible","Negative","50%","I was not affected.","Neutral","Uncategorized","Administrators should let the protests occur without interference","Neutral","58%","Morality","Neutral","42%","False"
"","","3f9531b3-f36f-4ca3-93a3-4732ca5cd0a5","","Female","50-59","Democrat","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","$81--$120k","Yes","I am completely supportive of safe, peaceful, and non-violent protests of all kinds. I support the protesters, even if I do not completely agree with their stance.","Positive","56%","Police violence is unacceptable, it fuels the fire instead of putting it out. ","Negative","48%","They haven't affected me personally, as I do not live near a uni/college campus. I watch the news, the protests, I support them 100%, their right to free speech, and protest, as long as it does not get violent.","Neutral","Uncategorized","I think the police/administrators should support these protests, be present but only to protect the protesters. I do not think the students should be punished in any way. I'm totally against any punishment. ","Negative","57%","The constitution, the right to protest is a pillar of the 1st amendment. Beyond that, I'd look towards the ACLU's guidelines for peaceful protests.","Neutral","84%","False"
"","","f3329e0d-3348-49ab-a768-fcc99b228718","","Female","18-29","Democrat","--","Muslim","--","--","--","--","--","--","Professional Degree (e.g. Masters, PhD, MD, JD) ","Urban","$35k-$80k","No","The campus protests on the Israel-Gaza conflict highlight significant polarization and intense emotions among students and faculty. The wide range of administrative responses—from engagement and dialogue to disciplinary actions and police involvement—illustrates the complexity of managing free speech, safety, and order on university campuses amidst such a contentious issue.","Neutral","56%","How campus administrators handle protests related to the Israeli-Gaza conflict varies and reflects the delicate balance between supporting free speech and maintaining campus order. Their response ranged from silence and dialogue with students to shut down protests, student walkouts and police involvement. These responses suggest the difficulty of navigating such a divisive issue, where some actions are likely to foster dialogue, while others may increase tensions","Neutral","55%","the campus protests on the Israel-Gaza conflict have deeply impacted me. They've created a charged atmosphere on campus, with heightened emotions and visible divisions among peers and faculty. These protests have sparked intense discussions in and out of the classroom, influencing academic and social interactions.","Neutral","Uncategorized","They should Facilitate open dialogue and forums.
Set clear protest guidelines.
Offer support services like counseling.
Use non-violent measures and limit police involvement.
Engage with student leaders.
Promote educational initiatives on the conflict.



","Neutral","59%","University administrators should be directed to:

Principles of free speech
Campus Safety
General Objection Guidelines
Free communication
Things that aren’t violent
Animal Services
These are balanced to present them with respect and security. ","Neutral","83%","False"
"","","7760a548-c6ea-4f1e-b7b0-aa6f33370b5a","","Male","50-59","Republican","Christian","--","--","--","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","Under $34k","No","That protesters at some random college campus located in the United States will have zero effect on a conflict that has been going on since 1948 in a foreign country.","Negative","52%","This needs to be more specific. Different protests were handled in various ways, some good, and some bad.","Neutral","55%","It has not affected me.","Positive","Uncategorized","Demonstrations should be limited to a space supplied by the university that is located OFF campus.","Neutral","52%","I don't know.","Neutral","17%","False"
"","","60e72c9b-a679-42aa-b012-cffc6f07d105","","Male","40-49","Democrat","Christian","--","--","--","--","--","--","--","Professional Degree (e.g. Masters, PhD, MD, JD) ","Urban","$35k-$80k","Yes","they should have giving a peaceful protect not by violence. its a very wrong way of protecting.
","Negative","51%","they handle it very well, student can not continue to mess up things and expect the administrators not to take action. i believe they are very good way of protesting.","Neutral","52%","lectures delay, examination delay and so on","Neutral","Uncategorized","it should be done peacefully without violence.","Neutral","60%","ensure the safety of all individuals involved and also respecting their right.","Neutral","85%","False"
"","","eb6b8803-b6b7-48b3-bb57-b59bab8896ba","","Male","40-49","Republican","Christian","--","--","--","--","--","--","--","Professional Degree (e.g. Masters, PhD, MD, JD) ","Urban","Under $34k","No","My impressions are that since Biden took Office, All of educatyion across the United States is ruined.  the student protesting the war have no idea why; they just are doing it for attention and not deal with school.  Tha faculty involved are attention seeking idiots.  I feel that Universities and college campuses in The United States will only get worse from here.  I leaft teaching because was being abused by adminstration and faculty after 20 years. So I hope this war continues to make life mi ","Neutral","54%","I feel they are full of crap.  The administrators care about one thing, Money.  I hate all administrators, and College campuses. The war caused a lot, but Biden and harris have been the real war.    ","Neutral","49%","I feel traumatized, ruined, destroyed  and my life has no purpose ","Negative","Uncategorized","I feel they need to stop. Its a waste of time.  Student have no idea what the hell they are protesting ","Negative","46%","I feel it is terrible,m and im tired of this converstation.  this whole thing is what ruined my life as a teacher. a professor. ","Negative","16%","False"
"","","d9565cae-ee90-4bf4-9d5e-83c4ffe08b95","","Female","30-39","Independent/Other","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Rural","$35k-$80k","No","I generally agree with the idea but nothing will come of these peaceful protests. It furthers the divide between college students whose hearts are in the right place and those who view colleges as ""liberal breeding grounds"" and will never take them seriously no matter what. Putting eyes on the situation is good, but ultimately what is being done?
","Neutral","55%","How the administrators handle it is representative of whoever is pumping the most money into the school and the location's general culture.","Negative","51%","They haven't.","Neutral","Uncategorized","Let the students protest or see what real action is like.","Neutral","57%","A moral compass. Understanding that students of this age are trying to find themselves. It's less about the actual politics and more about their desire to stand for something, prove themselves to whoever they need approval of, often their own self.","Neutral","52%","False"
"","","71898c0a-7774-4a8d-9599-a431de36c014","","Female","30-39","Independent/Other","--","--","--","Agnostic/Atheist ","--","--","--","--","High school","Rural","Under $34k","Prefer not to respond","As a general rule, I support campus protests. I believe that atrocities are happening in Gaza and it is important to protest them, and students are in a unique position of being able to call attention to wrongs, just as they were during the Vietnam war and the Civil Rights movement.","Neutral","59%","I disapprove of many of the crackdowns by campus administrators. I think they went too far in curtailing the students' free speech. When looking back to other eras, such as the Vietnam war and the Civil Rights movement, students were generally afforded more freedom by campus administrators, and I prefer that approach.","Neutral","55%","I have not been personally affected by the campus protests, other than feeling pride at the students standing up for what they believe in, and being frustrated with campus administration for cracking down too harshly on the protests.","Positive","Uncategorized","I think campus administrators should hear the students out and comply with their demands as long as it is reasonable to do so. I don't think administrators should ever get police or National Guard involved unless there is serious, escalating violence, which there never was in any of the cases I saw. I think administrators should support their students as much as possible and listen to them.","Neutral","50%","Self-consideration of organizational ethics (are universities involved with entities that are perpetuating atrocities?). Respect for students and willingness to listen to them. Understanding of the serious dangers of getting police/National Guard involved, and that this could lead to student deaths or severe injuries. Looking at history to see how protests have been handled in the past, such as during the Civil Rights era.","Neutral","79%","False"
"","","94f5ab91-2024-4f00-9a7e-c515638636b1","","Male","18-29","Independent/Other","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","$81--$120k","Yes","i think protests are a good thing when done right. a lot of the protests i see these days aren't done right, on both sides, protestors and impacted individuals, interested or not. they're very divisive, and no one  truly listens so nothing really productive happens","Neutral","58%","some handle it well and are responded to unwell. others don't handle it well and throw oil on fire","Neutral","52%","not directly, but i'm sure indirectly. campus protests and the community can be felt near me. it becomes less warm and more silo'd ","Neutral","Uncategorized","I think there should be rules and guildlines for safety and for public respect. but enable students to spread their message, don't block it","Neutral","57%","respect, safety, and empathy. safety for protestors and general public is a priority ","Neutral","79%","False"
"","","5882d934-fec6-463c-8cd6-a34f5a31004d","","Female","30-39","Independent/Other","--","--","--","Agnostic/Atheist ","--","--","--","--","High school","Rural","Under $34k","No","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","False"
"","","fc1e519c-2834-49f7-bb1f-d05e7e6d0886","","Male","30-39","Republican","Christian","--","--","--","--","--","--","--","High school","Urban","$81--$120k","No","While I recognize and strongly favor the right to free speech and the ability to  demonstrate with peaceful protest, the campus protests are anything but that and are quite disgraceful and quite concerning seeing the level of damage and violence these events are bringing out. Taking over and disrupting campus should never be tolerated .","Negative","55%","They clearly were not prepared and let this go on for way longer than it should have, the campus take overs were a  disgrace really .","Negative","52%","I have had no direct effect by these protests.","Neutral","Uncategorized","They should acknowledge the right to free speech and peacefully protest, but also have a zero tolerance for violence and destruction of property,  they need to be prepared for the likelihood of this happening and ensure safety for everyone involved. There needs to be a clear plan to shut these down the moment it starts to get out of hand and not let it escalate ","Negative","59%","They should be committed to allowing free speech, but prioritize safety at all times. ","Neutral","83%","False"
"","","d7035714-126e-4ce8-9e61-04332888b972","","Female","60-69","Democrat","Christian","--","--","--","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","Under $34k","Yes","The campus protests regarding the Israel-Gaza conflict appear to be deeply impactful and divisive within university communities across the United States. The range of tactics employed, from peaceful demonstrations to more disruptive actions, underscores the intensity of feelings and the urgency felt by students and faculty about the issue.","Neutral","56%","The handling of campus protests by administrators appears to be a challenging balancing act between respecting freedom of expression and maintaining campus safety and order. Here are some impressions based on the actions described:

Varied Responses: It seems administrators have employed a range of responses, from engaging in consultations with students to shutting down protests and involving law enforcement. This indicates they are trying different approaches to manage the situation.","Neutral","56%","Awareness and Education","Neutral","Uncategorized","Approaching demonstrations on the Israel-Gaza conflict requires a delicate balance from university campus administrators. 

Respect Freedom of Expression: Administrators should uphold the rights of students and faculty to peacefully protest and express their views on global issues, including the Israel-Gaza conflict. This includes providing spaces and opportunities for dialogue and expression.","Neutral","58%","Commitment to Free Speech: Uphold the principles of free speech and academic freedom, allowing students and faculty to express their views without fear of retribution.
Fairness and Impartiality: Handle all protests with fairness and impartiality, ensuring that no group is unfairly targeted or favored.","Neutral","83%","False"
"","","be3faf98-4d1b-4292-80e7-4e1fcf7af5b7","","Female","60-69","Democrat","Christian","--","--","--","--","--","--","--","Professional Degree (e.g. Masters, PhD, MD, JD) ","Rural","$120k+","No","Campus protests are ok.......if they are non-disruptive to the classes and normal business operations.  Student have the right to protest and have their voices heard.","Neutral","58%","i think that most administrators have responded adequately to the student right to voice their opinion.   But they have gone too far with expelling students or refusing them the degrees they have earned.","Neutral","51%","they have not had any direct affect on me.","Neutral","Uncategorized","let the student have their protests.  But maintain a level of professionalism when calling them to an end.","Neutral","57%","not sure......other than behave morally and ethically.","Neutral","67%","False"
"","","3177df1d-c8ef-424f-bc1e-91bc1305409c","","Male","30-39","Republican","Christian","--","--","--","--","--","--","--","College degree (e.g. Bsc, BA)","Suburban","Under $34k","No","I really dislike them, because from what I have seen, despite being college educated, a lot of the protestors have no idea what they are talking about. It is another one of those instances where everyone is reacting without understanding what they are reacting about . I have seen students across the United States continue to chant and spout false historical narratives about the region to prove their points. As a history major, not only does it make me mad, but it makes me extreamly disappointed","Negative","57%","Some of them are going a good job. My University put a stop to them before they even started. People are there to learn and I have seen administrators in California and other colleges let students block other students from going to class. htis in no way shape or form is acceptable ever. I think all administrators should have designated areas and not allow the damage being done.","Neutral","52%","The only thing they really  did was made me realize how uneducated and ill informed many college graduates are these days about serious topics.","Neutral","Uncategorized","I think that they should allow a forum where people can discuss it and talk it out peacefully. I also think they should have a designated space away from other students that doesn't disrupt their classes. Furthermore, I think students should all be required to take a small course on the history BEFORE they protest on something they clearly no nothing about.","Neutral","51%","They should already have bylaws in place, this shouldn't be a question. They should have already been in the student handbook, protest have gone on in America forever. Zero excuse for not having a plan and univesity rules in place. ","Negative","54%","False"
"","","fa8e96f6-ccbd-4ba1-b975-6cd8906649ff","","Female","30-39","Independent/Other","--","--","--","Agnostic/Atheist ","--","--","--","--","College degree (e.g. Bsc, BA)","Urban","$120k+","No","As long as they are peaceful, they should be allowed to progress. If they become disruptive, they should be stopped. ","Neutral","54%","I think saying nothing is the way to go as long as the protests are peaceful. Shutting them down is the right action if they become disruptive, and calling the police is correct if they become violent. Suspending students and degrees should only happen if a student is violent or breaking the law; there's no need to use force or punishment if everything remains peaceful. ","Neutral","52%","I haven't been affected by the campus protests.","Neutral","Uncategorized","If they are peaceful, they should do nothing and allow students to utilize their freedom of speech. If they become violent, they have no choice but to step in.","Negative","58%","Regulations. Freedom of speech is codified in the Constitution, so students have a right to peacefully protest. Once it becomes violent, they should follow university regulations.","Neutral","83%","False"
"","","2cc5f2e7-7f7e-410f-ab45-cf770f39ee34","","Male","30-39","Democrat","--","--","--","Agnostic/Atheist ","--","--","--","--","High school","Urban","$35k-$80k","No","I mainly have positive views towards the protests since I feel that what the Israelis are doing is unjust. I also am a big supporter of freedom of speech so I view this as a way for the students to express their views. I do think that being disruptive is bad but this is also a very serious issue in which tens of thousands of innocent people have died.","Neutral","58%","I believe the campus administrators did what they felt was best. I don't think that some of them wanted the protests to be shut down but sometimes they become disruptive which the campus admins have an obligation to deal with.","Neutral","56%","It's mainly effected me on an emotional level. It makes me feel proud that the students are standing up for what they believe is the right thing. Other than that they haven't effected me all that much.","Neutral","Uncategorized","They have to take a balanced approach somehow. They need to respect the students freedom of speech and right to protest. At the same time though they need to make sure that the protests aren't disrupting school.","Neutral","56%","They should stick to the rules of the campus. They also need to respect people's freedom of speech, it's a tricky situation for the most part.","Negative","83%","False"
"","","9a4c6c57-fd4c-4404-a4ca-ebdb16b2b62c","","Male","30-39","Independent/Other","Christian","--","--","--","--","--","--","--","College degree (e.g. Bsc, BA)","Urban","$120k+","Yes","I think when they are done peacefully and hurts no one, police should be allowed to protect the students","Negative","55%","I think the handled it well","Positive","49%","getting stomped on","Negative","Uncategorized","I think they should allow for peaceful protest but involve the police when it goes the wrong way","Negative","60%","the rules of the school I guess","Neutral","31%","False"
