"Name","US foreign relations"
"Title","US involvement in other countries' armed conflicts"
"Date","June 25, 2024 at 03:56 PM (GMT)"
"Duration","02:10:51"
"Participants","323"
"Participant Limit","350"
"Total Screener Polls","3"
"Total Conversation Questions","6"

""
""
"","","Participant Id","Sample Provider Id","What political party do you most identify with?","What is your age?","What best describes the region you live in?","Do you believe that defending human rights globally should be a goal of American policy?","Please explain why you chose this answer (please be as specific as you can).","Sentiment","All (%agree)","What are the reasons that you think some people would/might disagree with you?","Sentiment","All (%agree)","When is a time that you supported the U.S. getting involved in another country?","Sentiment","Categories","When is a time that you did NOT support the U.S. getting involved in another country?","Sentiment","Categories","What actions, if any, should the U.S. take in the Democratic Republic of the Congo? Please explain your reason(s) for your answer.","Sentiment","All (%agree)","Muted"
"","","4bfc4eed-90c2-4da0-910a-70ad9568293b","","Democrat","35-44","Rural","Yes","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","False"
"","","e7a232a7-8ae0-427d-a21e-b482b50cf012","","Republican","55-64","Suburban","Yes","Our nation, though flawed at times,should support human rights.  It is morally the right thing to do.","Neutral","69%","Some may take an isolationist point of view and believe the US should stay out of other countries business.  We are not the world's policeman.

  ","Negative","73%","The current involvement in Ukraine.","Neutral","Uncategorized","The Iraq war.","Neutral","Uncategorized","We should do mothing more.  Not a security issue for the US.  Small regional conflict.","Neutral","52%","False"
"","","eb7b417d-8efd-4905-b901-ab0f955de2fd","","Republican","25-34","Suburban","No","I think there are enough issues within America that should be the priority for budgeting and manpower. I don't think we need to be getting involved in global and international issues while putting our own human rights deficits on the backburner.","Negative","45%","I think some people would argue that America's strength makes it a role model for other countries. If we get involved in protecting human rights in other countries, that might inspire other countries to help out as well. ","Neutral","66%","I supported the U.S. presence in the Middle East following 9/11 to get justice for Americans killed and harmed in the terrorist attack. ","Neutral","Uncategorized","I didn't support the U.S. involvement in the Vietnam war as it isn't our responsibility to defeat Communism in other countries.","Negative","Uncategorized","I think it depends on the strength and nature of our alliance with Rwanda. It sounds like we've used sanctions as a way of assisting in the conflict without fully going against our allies. It wouldn't make sense for us to fully oppose Rwanda further if we have a history of a strong alliance.","Neutral","55%","False"
"","","f2e0ddb9-65e5-4bbd-8624-8b502ba8e666","","Other/Independent","25-34","Rural","No","because it is not our business","Negative","43%","because of being selfcentered","Neutral","38%","none","Neutral","Uncategorized","none","Neutral","Uncategorized","stay aside because it doesnt affect the country","Neutral","52%","False"
"","","591e9042-830b-432d-98cf-86c05ff82f30","","Other/Independent","25-34","Rural","No","We should work together with other countries to promote the ideals of human rights, but we should not be the main enforcer of doing it.","Negative","64%","They believe that America being the strongest country in the world makes them the default enforcers, but they forget that America has major issues with racism, political infighting, and extreme classism. ","Negative","61%","World War 2. Any wars after that have been disasters caused by trying to push American influences. ","Neutral","Uncategorized","Supposedly fighting Communism in countries like Vietnam and North Korea. War on Terrorism in Iraq and Afghanistan. Conflict with Israel and Gaza. Conflict between Ukraine and Russia. Military action in Yemen by supporting Saudi Arabia. ","Neutral","Uncategorized","America should stop arming countries that can afford to defend themselves (Israel) and send some of that funding to our allies down there. ","Negative","51%","False"
"","","2200510a-7f6d-4c67-8774-391e1822ef35","","Other/Independent","25-34","Suburban","Yes","Human rights should be defended by everyone, as we are all human","Neutral","69%","Because either they believe the narrative that every other country is evil if they don't align with US interests or they realize it's hypocritical for the US to be one of the most rights violating countries to enforce rights in other countries.","Negative","29%","Literally Never","Negative","Uncategorized","Literally Always","Neutral","Uncategorized","I'd have to read up on Congo to see if this isn't another ""US backed insurgents, insurge"" so at this time I'd say provide humanitarian aid","Negative","58%","False"
"","","79acc03a-10b0-406f-affe-60a818412228","","Other/Independent","35-44","Suburban","No","America has no ground to stand on when it comes to morality and justice. Take a look at Epstein's island and realize who controls who. Assets should be spent on improving the lives of its citizens, not bombing foreign powers so that we can force our alleged values on them. This is all a farce anyways as you can look at Afghanistan and realize that America did nothing to get rid of the Taliban and actually just elevated the worst of them (pedophiles who would molest children on U.S. bases).","Negative","46%","They have been deceived into believing in the moral superiority of America and so think it's our duty to enforce it. They are wrong. 


They also may think that human rights are so significant and America is so powerful that they must lend their power to ensure human rights across the globe. But we are not the world's enforcers and we lack morals ourselves.","Negative","37%","Involved as in war against? Never. There's never been a war that the U.S. has been involved in that I support. ","Neutral","Uncategorized","Again, if 'involved' means to engage in war with, then every time, namely Iraq, Afghanistan, Libya, Syria, Ukraine, & Israel/Palestine. But any time the U.S. has engaged in any way militarily, I've been against it.","Neutral","Uncategorized","None. We are Americans, not Africans. Africa for the Africans. ","Neutral","49%","False"
"","","4319bd7c-5fc3-4b5d-94d7-a5da83e13090","","Democrat","25-34","Suburban","Yes","As a global super power we are obligated to ensure human rights for all humans not just Americans.","Neutral","68%","For some odd reason people are only concerned with Americans...and only certain races of Americans at that.  We must help others as we hope someone would help us if needed.","Neutral","72%","When Russia started bombing Ukraine and raping and killing innocent people who cannot defend themselves.","Negative","Uncategorized","When they sent aid to Israel to kill innocent people.","Negative","Uncategorized","I think that because of the children involvement they should not take any further action.","Negative","51%","False"
"","","0d5a2d3b-53f7-4319-816d-f2ce6d9c45bc","","Other/Independent","35-44","Urban","Yes","It aligns with America values of equality and freedom, while also practicing deeper concepts such as compassion and reducing suffering. Also, it fosters economical stability in the long run","Positive","71%","People might emphasize cultural diversity and respects for all kinds of differences and groups, while keeping the status quo. Also, giving more power to the people might go against capitalist values ingrained in America's history","Neutral","49%","Never, it goes agains my beliefs","Negative","Uncategorized","Most of the time, like with Afghanistan or even Vietnam. Violence is not the answer","Neutral","Uncategorized","Maybe putting more pressure into the involved parties? Sending military forces would only open a new battlefront with new problems in the future","Neutral","54%","False"
"","","3057c7d9-dea3-48f5-83d4-258116e9313e","","Democrat","35-44","Suburban","Yes","It's our moral responsibility to do so, especially with certain past agreements where the US and allies made promises to provide aid, and in return, the receiving nation limits its military capacity we've all agreed would be dangerous.","Negative","68%","People are suffering and want the government to help domestically over international disputes.","Neutral","74%","Ukraine","Neutral","Uncategorized","Iraq invasion","Neutral","Uncategorized","US likely has little to gain either way. In the other instances, Russia is a rival in many aspects and Israel is a big economic and military ally.","Neutral","49%","False"
"","","f2dcfedb-ff7e-42df-a73d-73c85bdf4807","","Other/Independent","25-34","Rural","Yes","America was founded on the principle that all men were created equal. It was founded in opposition to perceived tyranny and unjust rule.","Neutral","49%","They're blinded by Marxism and Chinese money and would rather burn the country down.","Negative","30%","Ukraine.","Neutral","Uncategorized","Iraq.","Neutral","Uncategorized","We shouldn't get involved.","Negative","51%","False"
"","","77fd37aa-2986-4cd1-8ef3-e47d5a51920e","","Republican","18-24","Suburban","Yes","It promotes stability across the world and aligns with American values involving justice and freedom.","Positive","68%","Some may believe that it leads to costly foreign interventions.","Negative","58%","I honestly do not remember.","Neutral","Uncategorized","During times of humanitarian crises ","Negative","Uncategorized","America should support peacekeeping efforts in the Congo to stop the ongoing violence happening","Neutral","56%","False"
"","","8a2d5ede-f1ab-4bf9-b430-4d9e18c5ab92","","Republican","35-44","Rural","Yes","As long as it is for a good reason I think that is helpful. ","Positive","63%","Always helping others should be the number 1 issue and I don't think that is always the case.","Neutral","48%","I haven't really. I think most of the stuff we get involved in isn't something we should be involved in.","Neutral","Uncategorized","The closest thing that I can think of. After 9/11 and taking out Osama Bin Laden. We stayed there even after the initial objective to take out the terrorists.","Neutral","Uncategorized","I don't really know. Sounds like a very complicated issue.","Neutral","52%","False"
"","","463361eb-a0d2-4bd3-8b47-d0448f2eff2f","","Other/Independent","35-44","Urban","Don't know","On the one hand, that sounds like an awfully nice goal. On the other, it's best for human rights to be defended organically by the communities in question. If the individuals in a society do not care about human rights, no amount of laws will get them to do it.","Neutral","61%","Since I selected ""don't know"", to disagree would be to have a strong opinion one way or the other. Some people may think that America has the ability to get other societies to care about human rights, so therefore we have the obligation to. Other people may think that America should definitely be upholding human rights at home first, because there is too much societal decay.","Neutral","72%","When I was younger, I suppose I ""supported"" the Iraq wars, because I was excited by the prospect. But I was a kid and didn't really think about it.","Neutral","Uncategorized","I didn't support the US invading Afghanistan, I thought that would be a completely pointless endeavour.","Negative","Uncategorized","Absolutely no action. Seriously, they need to figure out their problems on their own. If they are depending on outside forces to do anything, then they will never grow and develop properly. They will forever be half a society.","Negative","48%","False"
"","","9f6bf7b0-9412-4cf1-8dbd-4c15891600f9","","Other/Independent","35-44","Suburban","No","Stop and smell the roses. Look around. Our foreign policies have Not accomplished anything significant in a positive way. Not to mention our u s leaders are war mongers and always have been. In the meantime our own infrastructure is Imploding from within.
There is a historical Amount of homeless people and sick people that need attention But they don't get priority over war. There's something wrong with that","Neutral","41%","Because they are manipulated brainwashed and gaslit every single day. Through the means of mainstream news, we are lied to on a daily basis.
 So people's own thoughts aren't. Even their own n because they aren't even given truthful information most of the time","Negative","34%","When george bush lied to us about weapons of mass destruction","Negative","Uncategorized","Ukraine ","Neutral","Uncategorized","They aren't getting the same treatment Because the united states has a special interest in ukraine and it's money laundering business affairs but people don't realize this. I don't think we should take any more actions until we get things under control here which That will not happen","Neutral","54%","False"
"","","4718f846-4a18-4992-ba55-3d0b46dd398c","","Other/Independent","35-44","Rural","Yes","The simplest reason is we have built both a country, ideology and reputation for looking out for human rights. By doing so we stay true to ourselves and our belief system.","Neutral","71%","Because we could easily be seen as hypocrites.  We struggle to maintain racial and social order in our own country and many people would view sending financial and other types of aid abroad is a waste while we struggle at home.","Neutral","72%","The war on Ukraine","Neutral","Uncategorized","The constant issues with iran/iraq/isreal","Negative","Uncategorized","We should send financial aid and items to help the civilians recover and be safe. IF they are still put in constant danger we should set up refugee camps guarded by soldiers.","Neutral","56%","False"
"","","08c92f33-2261-44f2-971a-4c5db0f15f02","","Democrat","25-34","Urban","Yes","Because we should treat our allies as we would like to be treated","Neutral","70%","Selfish people that only care about themselves","Negative","32%","After 9/11","Neutral","Uncategorized","Vietnam","Neutral","Uncategorized","Provide some military aid","Neutral","53%","False"
"","","aeb0f599-fd33-4c92-b535-a57694b34a2c","","Republican","35-44","Rural","Yes","Because all humans deserve the same right to live and die the same. Like defending your little brother from bullies","Neutral","63%","Because they’re democrats. Different in their ways of thinking","Neutral","29%","The time we went to Iraq and showed them what’s up","Neutral","Uncategorized","Israel ","Neutral","Uncategorized","A small army and an embassy that is more involved in well being","Neutral","49%","False"
"","","d3935cb1-18e7-4ec3-a693-29c66fe9fed1","","Other/Independent","35-44","Suburban","Yes","Because the United States is the most free country in the World and we owe it to others who are not so fortunate as we are.","Neutral","67%","Because some people think that the taxpayers should foot the living expenses for everyone else. Cases like the disabled for example I agree with supplying Healthcare and housing assistance but there must be limits on how much is given out. Otherwise you have a society thst relies on government handouts.","Neutral","63%","I would say the first Gulf War because we were trying to stop Iraq from taking over other countries in the Middle East.","Neutral","Uncategorized","I would say the Second Gulf War to topple Saddam regime. Most Iraqis were upset at the invasion and change in government. The US wasn't justified going into Iraq the second time.","Negative","Uncategorized","They should help give more weapons, and weapons funding to them without directly getting involved in yet another conflict with boots on the ground.","Neutral","53%","False"
"","","a25eb8d0-bfd5-494a-af6f-4c842937fc6f","","Republican","25-34","Suburban","Don't know","I have mixed feelings towards it. We have so much internal conflict as is within our own country that I can't even fathom entering into help conflict into another country when our own is in such disrepair right now.

","Negative","46%","They too are human and American. Naturally they will feel the need to defend what is right, but once you look at all that is wrong in our own country it will leave  you divided on what is the true right or wrong thing to do here.","Neutral","51%","9/11","Neutral","Uncategorized","ukraine ","Neutral","Uncategorized","We should stay out of it

","Negative","52%","False"
"","","95346d95-4d80-4b18-a4c7-f8db391ce050","","Other/Independent","25-34","Urban","No","Human rights are whatever they decide it is in pursuit of greater wealth and profit","Neutral","62%","The superstructure compelled them to; they have bought in to their dependent narrative ","Neutral","44%","I have never supported the U.S. entering a war. I was not alive in the 40s","Negative","Uncategorized","Almost every single time they intervened it was to supplement their colonial projects or to deprive the local population of their valuable resources

","Negative","Uncategorized","If the United States was at all concerned about human rights, the UAE's RSF militia would not exist. I don't trust the U.S. in any conflict. I want them to stop intervening, period.","Negative","52%","False"
"","","ad18c83f-75b8-40fb-92fb-7241ea33638b","","Democrat","25-34","Suburban","Don't know","On paper, of course everyone could get behind this cause! Human rights abuses around the world are horrible and a country volunteering to be a mediator is a noble cause. But in practice, when it turns into installing capitalism into existing communities, the realities become a lot more muddied and it's not so black and white. A more liberal approach to imposing economic sanctions is a better response, like what's currently going on with Russia.","Neutral","59%","There is real hurting in communities and standing by just to prevent stepping on each others' toes seems like a cop out answer.","Negative","49%","I totally get that Ukraine is a huge expense when the US and other countries send aid, but I do support standing up to Russia thinking they can do whatever they want.","Negative","Uncategorized","Even if Israel is an ally to the US, the White House needs to start putting real pressure if they do actually care about humanitarian causes.","Negative","Uncategorized","I'm not well versed on the issue and I don't want to make an uninformed answer, but for starters, the US needs to enact further sanctions and potential political pressure, if available.","Negative","55%","False"
"","","0e0768f5-1f2a-4a7d-93a0-73ca62117f3b","","Democrat","35-44","Urban","Yes","I think if we allow one country to take over another, it would just become a domino effect. It's best to support what we can at the beginning to avoid that from happening.","Neutral","61%","Because they are on the other side of the issue which is fine. Everybody has the right to their own thoughts and opinions.","Neutral","38%","Now with Ukraine because Russia is a problem.","Negative","Uncategorized","Iraq","Neutral","Uncategorized","They should get involved, especially since they have children fighting","Neutral","52%","False"
"","","acccd161-44d8-4348-a405-23d1db6e7524","","Democrat","25-34","Urban","Yes","I believe as a global superpower it is ethically important for the USA to use thier funding and power to prevent harm to marginalized communities worldwide.","Neutral","69%","I think people might be more concerned with the problems the US faces internally.","Neutral","72%","The israel-palestine conflict.","Neutral","Uncategorized","Russian politics.","Negative","Uncategorized","direct support of the Democratic Republic of the Congo.","Neutral","58%","False"
"","","850bc58b-9075-4758-8d47-ee5b2485e84e","","Other/Independent","25-34","Suburban","No","I prefer tax payer money to go towards healthcare and affordable housing.","Neutral","45%","They might call my reasonings socialism.","Negative","34%","The war in Ukraine.","Neutral","Uncategorized","The genocide in Palestine.","Negative","Uncategorized","Harder, borderline crippling sanctions against Rwanda, because attacking another country is wrong, and using child soldiers is unjustifiable under every context.","Negative","54%","False"
"","","10192602-55d8-4851-8ee8-774cee271021","","Democrat","18-24","Rural","No","Because it could lead to wars while trying to help others

","Neutral","45%","I think some people would agree with me because US should focus on their own people before others","Negative","70%","Never

","Neutral","Uncategorized","Palestine

","Neutral","Uncategorized","They shouldn't take any action we should be neutral

","Negative","50%","False"
"","","f38767f5-9590-4d65-9804-d4f2ab6ff292","","Democrat","35-44","Suburban","Yes","Because we are the most powerful country in the world so we should an example of what is right and decent.","Neutral","70%","Well obviously people would agree with us being the most powerful country. Some would say it isn't our responsibility however. I think that's the biggest reason. ","Neutral","70%","I fully support the US giving aid to Ukraine ","Positive","Uncategorized","Iraq. Let them take care of Saddam. We fabricated evidence to go in","Neutral","Uncategorized","I think stronger sanctions against the Rwandan government are needed. It will send a message that this isn't ok ","Negative","54%","False"
"","","59f5d1d0-8bf0-4d55-84d5-06356cbdf02c","","Democrat","35-44","Suburban","Yes","I think it should be to an extent. We should help those in need, but I feel like sometimes we over-extend ourselves. ","Neutral","57%","Because we don't do enough to help our own citizens. Many things in our own country are a mess and nothing is being done about it.

","Negative","70%","I think the most recent would be the conflict with Russia and Ukraine war. ","Neutral","Uncategorized","I do not support how they have shown support in the recent events in Gaza.","Negative","Uncategorized","They should be offering just as much assistance as they in in the other conflicts. I don't know enough about the relationship though to know more.","Neutral","56%","False"
"","","3e3e2409-e001-4777-a280-66d4d0e2c0c6","","Democrat","18-24","Urban","Yes","It is a thin line that is easy to be crossed, which makes it difficult for me to agree 100%, but I think that there are situations in places globally where people's basic human rights are violated. The US has a lot of money and power, so it makes sense for our policy to want to achieve that defense.","Neutral","60%","I think, and agree with them, that some people disagree with the reduction of this issue into right and wrong. yes, we should aim to protect and provide everyone with basic human rights, but how the US decides to get there can be littered with ulterior motives based on capitalism, colonialism, and imperialism.","Neutral","68%","I cannot think of any recent examples, but the US ""getting involved"" in WW2 was, on the surface, acceptable especially looking back onto what was happening.","Neutral","Uncategorized","I did not support the US getting involved with the war on terror in the Middle East and currently I do not support their involvement in the Palestine/Israel conflict.","Negative","Uncategorized","I don't know any specific actions, but a sanction from the US is not enough involvement, especially when innocent lives are at risk. I think that the US is not taking action because they do not align themselves as much with the people of the DRC or Rwanda than Ukraine and Israel.","Negative","52%","False"
"","","c3d137c4-51c2-4392-a87f-d4e60dc34a68","","Republican","18-24","Suburban","Yes","It will bring respect among others with international peace. ","Neutral","67%","I don’t think that they would disagree with me ","Neutral","31%","When the US seemed more patriotic and the government at least made it seem like they cared about their patron. ","Neutral","Uncategorized","Every time after 2006","Neutral","Uncategorized","None ","Neutral","47%","False"
"","","58f70089-b609-4890-a16f-1a570b74f02c","","Other/Independent","25-34","Urban","No","""Defending human rights"" is a buzzword, not providing any insight into what we would actually be defending. I see plenty of groups fighting for 'human rights' in the US despite the 14th Amendment, so it makes more sense to focus on our actions","Neutral","63%","More liberal-minded people value reduction of harm more than I do. I believe people are inherently evil and in need of redemption, and more liberal-minded people generally believe people can be reformed with enough education and resources, which I do not agree with completely.","Neutral","38%","Post WWII restructuring of Europe","Neutral","Uncategorized","Invading Afghanistan because of Saudi Arabia and Qatari governments financing 9/11","Neutral","Uncategorized","The US is not in a position to do anything since previous administrations said Rwanda is an ally, but we buy tons of lithium and cobalt from the DRC","Neutral","51%","False"
"","","b277f210-53b5-4a18-963d-1e453febb121","","Democrat","45-54","Suburban","Yes","It's only right to ","Neutral","55%","They believe we should only help our own","Negative","75%","World War 2","Neutral","Uncategorized","Afghanistan ","Neutral","Uncategorized","--","--","--","False"
"","","be657b32-a744-4083-8001-8898a810bc02","","Republican","25-34","Rural","No","I think we have a lot of problems at home we need to work out as well ","Negative","44%","They have different view on how we are currently in the US and they also feel as if we need to help everyone ","Positive","68%","I think it’s important that we step in when all other options are not working","Neutral","Uncategorized","I don’t support us going into Iraq","Negative","Uncategorized","We need to help them.","Neutral","55%","False"
