"Name","Right to assemble"
"Title","Right to assemble"
"Date","June 25, 2024 at 03:38 PM (GMT)"
"Duration","02:32:07"
"Participants","318"
"Participant Limit","350"
"Total Screener Polls","5"
"Total Conversation Questions","6"

""
""
"","","Participant Id","Sample Provider Id","What is your political viewpoints?","Which category includes your age?","What is your engagement or relationship (current or past) to a college or university?","What is your gender identity?","How would you describe your ethnicity? - White","How would you describe your ethnicity? - Black or African American","How would you describe your ethnicity? - American Indian or Alaskan native","How would you describe your ethnicity? - Asian","How would you describe your ethnicity? - Native Hawaiian or Pacific Islander","How would you describe your ethnicity? - Latinx","How would you describe your ethnicity? - From multiple races","What are features or characteristics that make a protest  appropriate?","Sentiment","All (%agree)","What characteristics or actions, in your view, deem a protest inappropriate?","Sentiment","All (%agree)","Have you attended or participated in a protest?","Branch A - How has your personal experience with protests influenced your viewpoint on the right to assemble?","Sentiment","Branch A - Yes (%agree)","Branch B - What are some of the reasons you have not participated in or attended a protest?","Sentiment","Branch B - No (%agree)","What measures (if any) could be taken to ensure appropriate protests are protected?","Sentiment","All (%agree)","What measures (if any) could be taken to restrict or limit inappropriate protests?","Sentiment","All (%agree)","Muted"
"","","994e9b74-c601-4771-96bb-c5a47db1b2fb","","Moderate","30-39","Community member","Male","White","Black or African American","--","--","--","--","--","A protest can be appropriate if it doesn't block other people's freedom of movement. This includes not blocking roadways, mass transit, and other modes of transportation. Another characteristic is the protest allowing people who don't agree with your idea to have a freedom of choice. ","Negative","55%","blocking traffic, violence with police, hate speech, ","Negative","66%","Yes","I only participated in a protest when it was peaceful and there was no breaking of the law.","Neutral","68%","--","--","--","Stepping up and keeping people focused on a peaceful message.","Positive","68%","Having multiple communication avenues stating the protest will not accept inappropriate behavior. ","Neutral","55%","False"
"","","6d09b3bf-e8be-454d-8995-b63478d2ca4b","","Slightly liberal","50-59","Community member","Male","White","--","--","--","--","--","--","A group of people gathered together to march against a person or group of people who are doing harm.","Neutral","54%","Violent actions on the part of the police or those who may infiltrate the protest to make the protesters look bad.","Negative","64%","Yes","No. It's important to show up and protest at times.","Neutral","50%","--","--","--","Proper police training. ","Neutral","68%","Who's to say if a protest is inappropriate?","Negative","46%","False"
"","","b4e51298-c569-4195-a656-03f9000830b8","","Slightly liberal","50-59","Community member","Male","White","--","--","--","--","--","--","Peaceful, non-violent is a must, but often times police escalate the issue.","Neutral","54%","Violence or protests for things that aren't real.","Negative","59%","No","--","--","--","Never any of them around my area for things I believe in.","Negative","62%","Keep counter-protesters farther away and train police to deescalate.","Neutral","64%","Who decides what is inappropriate?","Neutral","46%","False"
"","","3364fbeb-0f6b-417c-b6ca-18ff2ced9c5c","","Very conservative","Above 60","Community member","Male","--","--","--","Asian","--","--","--","does not block traffic, does not deface, does not condone nudity, does not destroy property, does not condone violence.","Neutral","54%","blocking traffic, gluing to art, nudity, arson, violence.","Negative","83%","No","--","--","--","I like staying home, away from troublemakers.","Positive","38%","the Constitution.","Neutral","44%","Inappropriate protests backfire, so let them.","Neutral","49%","False"
"","","22e9911d-d24b-401a-ab1c-e9e86eb02072","","Very conservative","50-59","Community member","Female","White","--","--","--","--","--","--"," people peaceably to assemble, not block traffic, not burn or destroy things, thats not peaceful","Neutral","54%","sitting in the street, cursing at people, throwing things, burning things","Negative","62%","No","--","--","--","I will not place myself in harms way for most causes. Too much violance and destruction, and if there isnt it seems you will have those from the outside who try to make it that way. Just like Jan 6th","Neutral","52%","If they are appropiate, there shouldent be a need to protect it. ","Neutral","46%","immediate arrests for violent people ","Negative","67%","False"
"","","ea262cfd-6362-416b-8ceb-45d4ba15238a","","Slightly liberal","Above 60","Community member","Male","White","--","--","--","--","--","--","If you are going to protest you should avoid violence. Violence makes people oppose your agenda instead of supporting it. Protesters should follow local laws. Use your voice.","Negative","54%","Violence, looting, blocking roads and highways, eco-terrorism.","Negative","79%","No","--","--","--","I generally don't care all that much.","Neutral","39%","Have a place for them to assemble and speak out. Don't send the cops in with riot gear. The police just make things worse. ","Neutral","61%","Who decides what's inappropriate. The right to assemble doesn't have any limits.","Neutral","37%","False"
"","","19cd3a0d-e8ed-4838-b834-80833e9b46bc","","Very liberal","50-59","Community member","Male","White","--","--","--","--","--","--","A protest is a moment in time and location for citizens to voice their dissent or support for a cause, using their voices or their physical presence, signs or clothing, to get across something they think is important to them personally.  It can include movement or being still in a location, cars or walking, loud or silent.","Neutral","56%","It is not appropriate for a protester to cause harm to another person, physically, or when a protester causes destruction to a place or thing (building, sidewalk, window, tree, fence, car).  It is not appropriate when common sense dictates that insults and vulgarity not be hurled at someone you disagree with, or threats of violence.","Negative","77%","Yes","I was given the freedom to march for a cause, and I did so with friends for an hour, then went home or out to eat (I can't remember which).  In the end, the march did nothing to change reality, but I felt heard and seen.","Neutral","50%","--","--","--","Organizers should lay down the expectations for all who plan on attending, through email, mailers, in-person conversations, signs, texts.  They need to take responsibility for the actions of all by holding everyone accountable for their action, and pre-seeding non-violence through training and rule explaining.  There must be volunteers whose job it is to ensure safety by looking, observing, checking out who is marching in the march, a form of self-policing, not to arrest rule-breakers...","Neutral","76%","Training, training, training.  Anyone who wants to participate should be educated in what it means to peacefully protest, and say things worth being heard, not angry shouting or threatening or vulgarity or insults.  ","Neutral","63%","False"
"","","7ff6db3d-561e-43e5-b013-2a87e928f57e","","Moderate","30-39","Community member","Female","White","--","--","--","--","--","--","voicing your opinions","Neutral","49%","any kind of violence","Neutral","69%","No","--","--","--","those things usually turn into something violent and I am not about it.","Neutral","70%","I don't think there is anything anyone can do because as it is, people who want to be violent will be violent.","Negative","33%","I don't think there is anything anyone can do because as it is, people who want to be violent will be violent.","Negative","53%","False"
"","","6ab84310-dfd3-42f3-b768-1f3d9a3f5139","","Very liberal","21-29","Community member","Male","--","--","--","Asian","--","--","--","As long as it is for a good cause","Neutral","49%","If it is for a bad cause","Negative","24%","Yes","I don't think it has, I think I would hold the same opinions even if I never attended a protest before","Negative","67%","--","--","--","I'm not sure. Protestors will always be under the threat of violence, especially if they are going against the status quo","Neutral","42%","Counter protesting","Neutral","48%","False"
"","","e5829437-cd98-4032-a7d4-f1114fc0b98e","","Very conservative","Above 60","Current student","Male","White","--","--","--","--","--","--","Trying to change public opinions on subjects","Neutral","49%","Destroying private and public property","Neutral","82%","No","--","--","--","You look like a bunch of IDIOTS, Get a job and a life","Negative","39%","Buy a gun","Neutral","48%","More POLICE","Negative","63%","False"
"","","447df10c-bfdc-4efd-b221-f0830d7d8d92","","Moderate","21-29","Community member","Male","White","--","--","--","--","--","--","Whatever the government decides is appropriate at that time.","Neutral","45%","If they start to interfere with the business of parties not involved.","Negative","65%","No","--","--","--","I live rural in a county of about 500 people. No one is protesting here and I dont care to travel for one.","Neutral","57%","The government will probably just start arresting people soon for protesting, even if it is peaceful.","Negative","61%","Send in the nation guard and FBI agents to infiltrate protest groups.","Neutral","63%","False"
"","","4c1e270b-207f-4b2c-8842-bb116e36962a","","Very liberal","40-49","Community member","Female","White","--","--","--","--","Latinx","--","Well, it says the right to assemble includes a protest, march, or general demonstration... so I would say that anything that falls under those parameters is definitely fair game. In my opinion, as long as people are non-violent and not creating a VALID safety hazard (not one arbitrarily made up) to others, then nearly any protest is appropriate. I would not limit things based on whether I personally think they're wrong or immoral or whatever, because that's a slippery slope.","Neutral","51%","Anything illegal would be inappropriate by general standards. Harm to people or significant intentional damage to property would be inappropriate. Blocking traffic is inappropriate unless they have a permit, but moving protestors into roadways and then claiming they blocked traffic is one tactic used by police to break up protests.","Negative","80%","Yes","I would say that I understand how important it is because change can come from organized protests.","Neutral","68%","--","--","--","Separating counter protestors would be a big one, because that's often where the violence begins. Being liberal with issuing permits in a very timely manner. Not deploying intimidating police forces in riot gear when there's no indication that's necessary. ","Neutral","74%","I don't believe that there should be any measures taken to restrict protests. Who decides that it MIGHT become violent? That could easily be weaponized.","Neutral","54%","False"
"","","8fc574df-595f-4f78-8252-b364129ee7b6","","Moderate","50-59","Current student","Male","White","--","--","--","--","--","--","Peaceful with legitimate grievances or issues.","Positive","55%","Violence or other infringement of others rights.","Negative","77%","Yes","The one's I've been to have been peaceful and for a worthy cause.","Positive","63%","--","--","--","Security for both sides of the argument.","Neutral","71%","It depends on the definition of inappropriate.","Neutral","49%","False"
"","","9d194e3d-3ce9-49f1-b82c-ac7b8a5daae1","","Very liberal","21-29","Current student","Female","White","--","--","--","--","--","--","reasonable cause","Positive","50%","If the reason for it makes no sense","Negative","20%","No","--","--","--","no reason to","Negative","41%","protesters should never feel unsafe. they should be protected by the first amendment.","Neutral","66%","I'm not sure how to answer this one. You shouldn't be able to ""limit"" or ""restrict"" protests. That goes against the First Amendment.","Neutral","45%","False"
"","","4255e08f-052a-44c9-af53-3666bf0c84da","","Very conservative","Above 60","Staff","Female","White","--","--","--","--","--","--","Order, no violence, signs, organization, peaceful demonstrations","Positive","56%","violence, hate speech, blocking traffic, damaging property","Negative","79%","No","--","--","--","Some crowds get unruly and I don't want to be in the middle of them, getting hurt or getting arrested.","Negative","74%","alerting the police in advance","Neutral","70%","security or police officers","Neutral","68%","False"
"","","7c8fb94c-3e4f-47fc-8ed2-e23feee26528","","Moderate","30-39","Current student","Female","White","--","--","--","--","--","--","A appropriate protest would be non-violent and not infringe on the rights of others.","Negative","57%","violence and harming the well-being, property and livelihood of others.","Negative","82%","No","--","--","--","It is not how I choose to exercise my opinions or beliefs.","Negative","52%","I honestly don't know, crowd control is a tricky subject.","Neutral","33%","Having a society that as a whole can separate fact from fiction and assess things seen exclusively on social media with a skeptical eye.","Neutral","58%","False"
"","","023d3571-9c96-446a-a7b2-c8d231c2c1cc","","Slightly liberal","18-20","Current student","Female","White","--","--","--","--","--","--","Peaceful, nonviolent","Positive","55%","violence, ","Negative","66%","No","--","--","--","not safe","Negative","55%","police presence ","Neutral","61%","police presence and bag checks ","Neutral","69%","False"
"","","579bece4-1075-45a4-bd71-f16f26297340","","Slightly liberal","30-39","Community member","Female","White","--","--","--","--","--","--","The protest should be nonviolent and disrupt important services (fire/police/ambulance, etc.) as little as possible.","Negative","56%","Violence is inappropriate, as well as purposefully disrupting important services. ","Negative","83%","No","--","--","--","There is always a concern that the protest will turn into something I don't actually support, and I don't want my participation to give voice to unruly mobs.","Negative","66%","I think the organizers have a lot on their plate in that regard to create a structure with many supporting volunteers. Law enforcement being notified ahead of time can also help. The more successful protests, the less people will be wary of them.","Neutral","75%","Again, law enforcement being notified ahead of time. Police training. ","Neutral","70%","False"
"","","00e14b38-a443-41ff-81dd-8c09fe594d66","","Slightly liberal","30-39","Current student","Male","White","--","--","--","--","--","--","should be in a public place. signs, chants, making lots of noise are all acceptable, provided nothing is blocked. blocking traffic isn't appropriate, and can be dangerous. peaceful can be broad, you are certainly permitted to be loud, but you can't be throwing things at people or other things. 

","Neutral","52%","blocking traffic, throwing objects at businesses, breaking windows, hurting others, starting fires

","Neutral","80%","Yes","i want to make sure that the right to assemble is never infringed, based on my experiences where protests were proper, legal, and appropriate.","Neutral","70%","--","--","--","protesting in certain areas, curfew","Neutral","56%","police arresting violent protestors","Negative","70%","False"
"","","2969cb48-5e3d-4239-87b8-7f7fc9442d8e","","Slightly conservative","Above 60","Current student","Male","White","--","--","--","--","--","--","an appropriate protest should be free of violence and peaceful","Neutral","58%","destruction of properties in the process or the exhibition of violence","Negative","78%","No","--","--","--","fear of not being safe ","Negative","59%","security for the protestors","Neutral","75%","leaders of protests doing the thing before protest ","Negative","52%","False"
"","","35bd07d5-e7cc-461d-8bf2-0632571e9ac8","","Moderate","30-39","Community member","Female","White","--","--","--","--","--","--","Making sure it's peaceful and not violent ","Neutral","55%","Violence ","Negative","63%","Yes","Yes because I learned how to do it properly ","Neutral","37%","--","--","--","Make sure to talk to everyone ahead of time about what kind of protest to have ","Neutral","74%","Make sure everyone is on the same page. ","Neutral","57%","False"
"","","6e66a5ac-7cfd-4898-9002-9b0c7dc2d7d2","","Moderate","30-39","Community member","Male","--","Black or African American","American Indian or Alaskan native","--","--","Latinx","--","Making signs for what they are standing for, being in a serious matter, all walks of life fighting for the same cause, marching, and screaming.","Neutral","55%","fighting, not being there for the right reason, destroying property","Negative","75%","No","--","--","--","It does not go with my personality.","Negative","43%","have police there, no drugs and no weapons","Negative","40%","have laws in place, and have no weapons ","Negative","49%","False"
"","","bed7de6b-eb1e-45a6-96f5-4cf8784de936","","Moderate","50-59","Current student","Male","--","Black or African American","--","--","--","--","--","The protest needs to be conducted in an orderly manner (no destruction of property, violence, etc.). The members of the protest should be unified, and committed. Finally, the protest must be for a worthy cause that benefits the general assembly. ","Neutral","54%","A protest is inappropriate when it's violent, destructive, or promotes hate. ","Negative","79%","Yes","Every protest that I've every been involved in was non-violent (generally protest on college campuses). In each case, the outcome was generally positive even if all our demands were not met. ","Neutral","69%","--","--","--","The idea is get authority figures involve before hand to express the do and don'ts of a legitimate protest (both sides - authority figures and protesters need to be involved in the process). ","Neutral","73%","The best approach is to outline inappropriate behavior (by all parties involved)  in order to restrict un-orderly conduct.","Negative","72%","False"
"","","7b256594-0113-40dd-a09b-b397403db3a2","","Slightly conservative","30-39","Community member","Female","White","--","--","--","--","--","--","a group of people to PEACEFULLY stand up for what they believe in","Neutral","53%","Looting, blocking road ways, fighting, hate speech","Negative","67%","No","--","--","--","I think normally is does more harm than good, there's always something that happens that put it in a negative light and there for no longer about what the protest is about","Negative","59%","Not sure there's always at least one person who ruins it for everyone","Neutral","27%","arrest the bad apples","Neutral","54%","False"
"","","ecec1b33-2d08-4c4a-99bf-68e75bbb7937","","Slightly liberal","21-29","Current student","Female","--","Black or African American","--","--","--","--","--","Interfering with healthcare rights, implications with taxes, education of children","Neutral","43%","marching, holding signs, demanding change, ","Neutral","19%","No","--","--","--","i fear there will be too much violence that i did not intend to be a part of.","Negative","67%","Im not sure there are any measures that could be taken to ensure that protest are protected. Police officers would have to march alongside the protestors instead of being on the opposing side ","Negative","55%","police should remove only the people who behaving in a violent manner","Negative","71%","False"
"","","4b83f1ce-ac10-463c-9d59-19c6d4d471f3","","Slightly liberal","Above 60","Community member","Male","--","Black or African American","--","--","--","--","--","DIALOGUE MUST BE YOUR FIRST PRIORITY .. CLEARLY COMMUNICATE WHAT YOU WANT... INCLUDE DIGITAL MEANS OF PROTEST PARTICIPATION","Neutral","57%","BLOCKING SIDEWALKS NORMAL TRAFFIC AND BUILDING BEING BLOCKED FROM BUSSINESS","Neutral","63%","No","--","--","--","WELL I WAS NOT THAT MUCH INTO OR JUST SET IN MY WAYS OF LIFE..BEING PASSIVE","Neutral","60%","POLICE BEING THERE AND EVEN THE ARM FORCES","Negative","48%","MAYORS OR CONGRESSMEN BEING THERE TO SUPPORT THE PROTESTORS","Neutral","52%","False"
"","","9e55c190-412c-4ac9-9f4d-90c9b1a04906","","Very liberal","30-39","Faculty","Male","White","--","--","--","--","--","--","Whether it is done respectfully, and doesn't infringe on the rights of others.","Neutral","53%","violence and disrespect","Negative","74%","No","--","--","--","I have not felt the need to do so","Neutral","53%","space for both sides to congregate peacefully","Positive","75%","educate them on what they need to do","Neutral","57%","False"
"","","6375415c-a159-4e3b-b943-b89d378f4854","","Moderate","30-39","Current student","Male","White","--","--","--","--","--","--","Your opinions ","Neutral","50%","violence ","Negative","63%","No","--","--","--","im busy","Neutral","50%","less people","Neutral","29%","more policing ","Neutral","67%","False"
"","","140a1bd9-8069-47b5-abaa-b9da1e34b336","","Very liberal","21-29","Current student","Female","White","--","--","--","--","--","--","A protest should be peaceful and sufficiently warranted

","Neutral","55%","Violence and no reason to protest","Negative","42%","No","--","--","--","I do not want to be in a large crowd if something goes wrong at the protest

","Negative","74%","Lots of security measures, such as checking people in for the protest and searching their belongings","Neutral","70%","There can be a lot of security or a ban on inappropriate protests","Neutral","64%","False"
"","","d11a519e-074f-4885-bad8-396994ca13f6","","Very liberal","21-29","Current student","Female","White","--","--","--","--","--","--","I think a protest is appropriate if it is not physically harming anyone or producing hate speech. I understand that businesses and bystanders may be inconvenienced by such assemblies, but protests that do not damage people or property and are not violent or hateful are appropriate. ","Neutral","54%","Violence, hate speech, blocking of roads / medical facilities, damage to persons or property","Negative","82%","Yes","I have participated in protests before and all have been very peaceful and organized. I have both learned that it is not difficult to stay peaceful, but it is also incredibly frustrating because nobody cares or turns an eye unless there is a threat involved. ","Neutral","67%","--","--","--","Protection by police force, fencing, barricades / barriers","Neutral","61%","Police involvement, community assembly and assistance ","Neutral","70%","False"
"","","d7343c10-a9e8-4fc0-ade9-0446f5374789","","Moderate","30-39","Community member","Male","White","--","--","--","--","--","--","If the protest is peaceful and doesn't block any major roads, I think it's appropriate.","Neutral","54%","Violence, blocking roads, damaging property.","Negative","80%","No","--","--","--","I don't want to be part of a protest if it turns violent. I'm not willing to risk death.","Negative","74%","Have police surrounding the area in numbers.","Neutral","54%","I'm not really sure.","Neutral","26%","False"
"","","143fa0f2-bf1f-4d24-83e2-02d8d153826e","","Moderate","30-39","Community member","Male","--","--","--","--","--","Latinx","--","Non-violent and non-damaging peaceful protests. A clear motive and no blocking of traffic and no disruption of public services.","Neutral","56%","Defacing of property, blocking traffic, and endangering the lives of those around you,.","Negative","80%","No","--","--","--","They tend to get out of hand due to some of the bad apples.","Negative","69%","I think some police there or some form of task force to keep the peace between anyone harming the protestors along with also keeping the protestors from harming each other or any other civilians. Keeping the peace from all sides.","Neutral","74%","Instant de-escalation, so better training of police, also, rigid and strict laws against any thing deemed violent or starting a riot.","Neutral","75%","False"
"","","50928a55-a50a-4735-a0e7-0b90f7c20186","","Very conservative","Above 60","Community member","Male","White","--","--","--","--","--","--","Any protest that is peaceful. They can be loud and enthusiastic but not threatening violence. They should be presenting their arguments and points and not trying to provoke violence.","Neutral","56%","Any vile or disgusting behavior, any obscene or disrespectful shouting will do more harm than good. Any calls for violence of any kind will do more harm than good. Local laws must be followed and no clashes or attacks on police.","Negative","74%","No","--","--","--","I don't live close to a city and I don't know how people get involved.","Negative","54%","The police department should be responsible for that and I think they usually do a good job.","Neutral","76%","The protest organizers should discuss things with the police force before they start and the police can tell them what is accepted by their force and city.","Negative","71%","False"
"","","c4848b48-8421-4285-ae0a-7473cf0b01cc","","Very liberal","30-39","Community member","Female","--","Black or African American","--","--","--","--","--","I think if people protest in a peaceful way and not do anything that harms others or themselves I think it is appropriate. ","Neutral","55%","Harming others & Harming self","Neutral","64%","No","--","--","--","The only protest that has been available in my area has been violent. ","Neutral","64%","Policies that help others be safe ","Positive","63%","Policies that help others be safe ","Positive","70%","False"
"","","95952524-7577-4979-b86e-c5cdcce9d813","","Moderate","30-39","Community member","Female","White","--","--","--","--","--","--","non-violence, expression of values/opinions","Neutral","57%","violence, disruption, property damage, blocking traffic","Negative","81%","No","--","--","--","I am disabled so walking for long periods of time is difficult and if things got out of hand I could easily get injured","Negative","48%","planning ahead","Neutral","67%","police presence","Neutral","69%","False"
"","","d73e3343-1ef2-4390-a4da-f1aaecc2cb3e","","Moderate","40-49","Community member","Female","White","--","--","--","--","--","--","Action, as in what they are protesting. Communication. what they are trying to get across.","Neutral","56%","Violence, rioting, bringing harm to self or others.","Negative","79%","No","--","--","--","I don't have the time.","Negative","40%","Have a certain type of security hired on to make sure the protest is peaceful.","Neutral","77%","picking the right people to be involved in the protest.","Neutral","59%","False"
"","","b48451f5-2728-43c2-ab16-2772e759a1c7","","Slightly liberal","40-49","Community member","Male","White","--","--","--","--","--","--","I think being peaceful and respectful. Not violence and no hate speech","Positive","54%","Violence and destruction of property ","Negative","81%","No","--","--","--","Because I am not passionate enough to get involved and I would rather steer clear in case there is any trouble or violence","Negative","57%","All protesters are checked for weapons before hand and the police are present in case of any trouble

","Neutral","72%","Police presence","Neutral","69%","False"
"","","0b6c1aa3-8af2-4441-8d9b-061aa44eaa0e","","Moderate","30-39","Community member","Female","White","--","--","--","--","--","--","A protest is appropriate when people are calm and kind of respectful. They are not inciting violence, trespassing or damaging property. ","Neutral","58%","When protestors are hurting others or damaging others property. When they are interfering with people's wellbeing ","Negative","77%","No","--","--","--","I haven't heard of any near by and I don't have a lot of time in my personal life. ","Neutral","47%","Police should not intervene or threaten peaceful protestors. People who disagree should just keep moving and try to start an altercation. ","Negative","68%","Police presence ","Neutral","69%","False"
"","","ff9701c3-4fa4-4b09-a1c4-7ae05c274fce","","Moderate","21-29","Community member","Female","White","--","--","--","--","--","--","peaceful protesting, no violence ","Positive","56%","any kind of violence","Neutral","69%","No","--","--","--","a lot of protests in my area turn violent and i do not want any parts of it","Negative","68%","theres not much because people dont respect measures anyways","Negative","26%","not many that would actually work","Negative","35%","False"
"","","3fd51773-9279-4820-9749-880dcbda5912","","Slightly liberal","21-29","Current student","Female","--","Black or African American","--","--","--","--","--","if its well organized, unproblematic, peaceful and non-violent.","Neutral","54%","extremely violent, disrupting the peace of others, blocking the roads, threatening people or law enforcements.","Negative","79%","No","--","--","--"," I genuinely just dont feel like.","Neutral","47%","everyone is well organized, everyone communicates properly.","Positive","67%","police officers making sure there's no violence, looting or other criminal stuffs.","Neutral","69%","False"
"","","18d425a6-4a78-4f23-a824-544cf77e66e0","","Moderate","30-39","Current student","Female","White","--","--","--","--","--","--","I think the biggest thing that makes a protest appropriate is nonviolence. ","Neutral","55%","Violence of any kind. Blocking traffic. You never know when someone needs to go to hospital.","Neutral","77%","Yes","I was protesting for gay marriage a billion years ago. Things were different back then. We didn't harm anyone or destroy anything. I think that these days, people hurt their cause by being destructive.","Neutral","71%","--","--","--","I think that people being rational and non-violent aren't simply to protect the right to protest, but to uphold the integrity of the protest.","Neutral","65%","I don't know these days. People are willing to do anything. It would be nice if no one was violent, but if you lived where I do, you would give up (as I have.)","Neutral","53%","False"
"","","752b445d-8e8d-4367-8059-85909feb3117","","Moderate","30-39","Community member","Female","White","--","--","--","--","--","--","peaceful, no violence","Positive","53%","violence, disrupting businesses","Negative","79%","No","--","--","--","I have no interest in them","Negative","36%","I'm really not sure. ","Neutral","27%","police presence","Neutral","69%","False"
